accession,display_name,tax_id,parent_tax_id,sci_name,strain,title,submission_date,seq_length,assembly_level
GCF_001375275.1,274_2_5Pc_5_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6603484,Contig
GCF_001375255.1,273_Tsb_6_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6760177,Contig
GCF_001375235.1,272_Rw200_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490217,Contig
GCF_001375215.1,271_Rw168_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489287,Contig
GCF_001375195.1,270_Rw109_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489631,Contig
GCF_001375175.1,269_Tsb_Bead_Pool_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487113,Contig
GCF_001375155.1,268_15_311Ba_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487839,Contig
GCF_001375135.1,267_15_211Gb_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486293,Contig
GCF_001375115.1,266_15Pc_7_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6491315,Contig
GCF_001375095.1,265_12_5Pc_8_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487131,Contig
GCF_001375075.1,264_12_5Pc_1_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487689,Contig
GCF_001375055.1,263_10Pc_3_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6482007,Contig
GCF_001375035.1,262_2_5Pc_4_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6477807,Contig
GCF_001375015.1,261_Tsb_5_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6480396,Contig
GCF_001374995.1,260_Rw199_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488187,Contig
GCF_001374975.1,259_Rw151_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6491764,Contig
GCF_001374955.1,258_Rw99_contgs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486588,Contig
GCF_001374935.1,257_Tsb_Bead_Pool_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486886,Contig
GCF_001374915.1,254_15Pc_6_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487546,Contig
GCF_001374895.1,253_12_5Pc_7_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489002,Contig
GCF_001374875.1,252_12_5Pc_1_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486569,Contig
GCF_001374855.1,233_15_321Bb_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486199,Contig
GCF_001374835.1,232_15_221Ba_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490468,Contig
GCF_001374815.1,231_15_121B_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487001,Contig
GCF_001374795.1,230_15Pc_4_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488449,Contig
GCF_001374775.1,229_12_5Pc_5_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6493734,Contig
GCF_001374755.1,228_10Pc_8_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490128,Contig
GCF_001374735.1,227_2_5Pc_9_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490882,Contig
GCF_001374715.1,226_2_5Pc_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489826,Contig
GCF_001374695.1,225_Tsb_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489647,Contig
GCF_001374675.1,224_Rw192_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487994,Contig
GCF_001374655.1,223_Rw138_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490367,Contig
GCF_001374635.1,222_Rw18_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487937,Contig
GCF_001374615.1,221_15_321Ba_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489845,Contig
GCF_001374595.1,220_15_221Ga_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488107,Contig
GCF_001374575.1,219_15_121A_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489458,Contig
GCF_001374555.1,218_15Pc_3_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487565,Contig
GCF_001374535.1,217_12_5Pc_4_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6490669,Contig
GCF_001374515.1,216_10Pc_7_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489356,Contig
GCF_001374495.1,215_2_5Pc_8_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486779,Contig
GCF_001374475.1,214_Tsb_9_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487553,Contig
GCF_001374455.1,211_Rw131_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486731,Contig
GCF_001374435.1,210_Rw11_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486339,Contig
GCF_001374415.1,209_15_321Gb_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487405,Contig
GCF_001374395.1,296_Rw204_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6777641,Contig
GCF_001374375.1,295_Rw176_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6576130,Contig
GCF_001374355.1,294_Rw130_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6456123,Contig
GCF_001374335.1,293_Tsb_Bead_Dwl_Pool_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7020645,Contig
GCF_001374315.1,292_15_321Ga_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6681108,Contig
GCF_001374295.1,291_15_211Ba_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6624966,Contig
GCF_001374275.1,290_15_111B_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6695463,Contig
GCF_001374255.1,289_15Pc_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7063105,Contig
GCF_001374235.1,288_12_5Pc_2_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7351545,Contig
GCF_001374215.1,287_10Pc_5_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7448884,Contig
GCF_001374195.1,286_2_5Pc_6_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6481013,Contig
GCF_001374175.1,285_Tsb_7_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6820549,Contig
GCF_001374155.1,284_Rw202_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7214769,Contig
GCF_001374135.1,283_Rw172_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7648339,Contig
GCF_001374115.1,282_Rw110_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7102226,Contig
GCF_001374095.1,281_Tsb_Bead_Dwl_Pool_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7584892,Contig
GCF_001374075.1,279_15_211Gc_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6579084,Contig
GCF_001374055.1,278_15_111A_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7540785,Contig
GCF_001374035.1,280_15_311Bb_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,7627036,Contig
GCF_001374015.1,256_15_311Gb_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487259,Contig
GCF_001373995.1,255_15_211Ga_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6487971,Contig
GCF_001373975.1,251_10Pc_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488103,Contig
GCF_001373955.1,249_Tsb_4_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488056,Contig
GCF_001373935.1,249_2_5Pc_3_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486894,Contig
GCF_001373915.1,248_Rw198_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6481466,Contig
GCF_001373895.1,247_Rw149_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489849,Contig
GCF_001373875.1,246_Rw30_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488420,Contig
GCF_001373855.1,245_Tsb_Pool_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488771,Contig
GCF_001373835.1,244_15_311Ga_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6485331,Contig
GCF_001373815.1,243_15_121C_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486425,Contig
GCF_001373795.1,242_15Pc_5_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6486988,Contig
GCF_001373775.1,241_12_5Pc_6_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489195,Contig
GCF_001373755.1,240_10Pc_9_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489945,Contig
GCF_001373735.1,239_10Pc_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6473606,Contig
GCF_001373715.1,238_2_5Pc_2_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6491725,Contig
GCF_001373695.1,237_Tsb_3_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6494421,Contig
GCF_001373675.1,236_Rw196_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6489728,Contig
GCF_001373655.1,235_Rw146_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6493914,Contig
GCF_001373635.1,234_Rw27_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6493415,Contig
GCF_001373615.1,213_Tsb_1_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488596,Contig
GCF_001373595.1,212_Rw184_contigs_500,287,136841,Pseudomonas aeruginosa,,Pseudomonas aeruginosa,2015-04-20,6488915,Contig
GCF_001295345.1,ASM129534v1,287,136841,Pseudomonas aeruginosa,PASS3,Pseudomonas aeruginosa,2015-09-21,6396218,Scaffold
GCF_001295295.1,ASM129529v1,287,136841,Pseudomonas aeruginosa,PASS1,Pseudomonas aeruginosa,2015-09-21,6347851,Scaffold
GCF_001295285.1,ASM129528v1,287,136841,Pseudomonas aeruginosa,PASS4,Pseudomonas aeruginosa,2015-09-21,6324500,Scaffold
GCF_001295275.1,ASM129527v1,287,136841,Pseudomonas aeruginosa,PASS2,Pseudomonas aeruginosa,2015-09-21,6151795,Scaffold
GCF_001294675.1,ASM129467v1,287,136841,Pseudomonas aeruginosa,ATCC 9027,Pseudomonas aeruginosa,2015-09-18,6362326,Contig
GCF_001293085.1,ASM129308v1,287,136841,Pseudomonas aeruginosa,PA1RG,Pseudomonas aeruginosa,2015-09-17,6500439,Complete Genome
GCF_001280765.1,ASM128076v1,287,136841,Pseudomonas aeruginosa,EML548,Pseudomonas aeruginosa,2015-09-09,6333481,Contig
GCF_001280755.1,ASM128075v1,287,136841,Pseudomonas aeruginosa,EML528,Pseudomonas aeruginosa,2015-09-09,6365411,Contig
GCF_001280745.1,ASM128074v1,287,136841,Pseudomonas aeruginosa,EML545,Pseudomonas aeruginosa,2015-09-09,6442109,Scaffold
GCF_001182945.1,P44_Wales_1_VIM_2_11_12,287,136841,Pseudomonas aeruginosa,P44_Wales_1_VIM_2_11_12,Pseudomonas aeruginosa,2015-07-07,7225559,Contig
GCF_001182005.1,P63_London_25_VIM_2_03_14,287,136841,Pseudomonas aeruginosa,P63_London_25_VIM_2_03_14,Pseudomonas aeruginosa,2015-07-07,7065995,Contig
GCF_001181965.1,P62_London_9_VIM_2_01_14,287,136841,Pseudomonas aeruginosa,P62_London_9_VIM_2_01_14,Pseudomonas aeruginosa,2015-07-07,7112439,Contig
GCF_001181945.1,P64_East_of_England_6_01_14,287,136841,Pseudomonas aeruginosa,P64_East_of_England_6_01_14,Pseudomonas aeruginosa,2015-07-07,7021074,Contig
GCF_001181925.1,P61_London_9_VIM_2_11_13,287,136841,Pseudomonas aeruginosa,P61_London_9_VIM_2_11_13,Pseudomonas aeruginosa,2015-07-07,7159139,Contig
GCF_001181905.1,P60_London_6_VIM_2_11_13,287,136841,Pseudomonas aeruginosa,P60_London_6_VIM_2_11_13,Pseudomonas aeruginosa,2015-07-07,7117318,Contig
GCF_001181885.1,P59_Wales_1_VIM_2_09_13,287,136841,Pseudomonas aeruginosa,P59_Wales_1_VIM_2_09_13,Pseudomonas aeruginosa,2015-07-07,7204321,Contig
GCF_001181865.1,P58_London_29_09_13,287,136841,Pseudomonas aeruginosa,P58_London_29_09_13,Pseudomonas aeruginosa,2015-07-07,7011784,Contig
GCF_001181845.1,P57_South_East_3_VIM_2_09_13,287,136841,Pseudomonas aeruginosa,P57_South_East_3_VIM_2_09_13,Pseudomonas aeruginosa,2015-07-07,7087430,Contig
GCF_001181825.1,P8_2_London_17_VIM_2_07_13,287,136841,Pseudomonas aeruginosa,P8_2_London_17_VIM_2_07_13,Pseudomonas aeruginosa,2015-07-07,6877345,Contig
GCF_001181805.1,P56_London_12_VIM_2_07_13,287,136841,Pseudomonas aeruginosa,P56_London_12_VIM_2_07_13,Pseudomonas aeruginosa,2015-07-07,7111548,Contig
GCF_001181785.1,E14_London_26_VIM_2_06_13,287,136841,Pseudomonas aeruginosa,E14_London_26_VIM_2_06_13,Pseudomonas aeruginosa,2015-07-07,7093983,Contig
GCF_001181765.1,E13_London_26_VIM_2_06_13,287,136841,Pseudomonas aeruginosa,E13_London_26_VIM_2_06_13,Pseudomonas aeruginosa,2015-07-07,7158950,Contig
GCF_001181745.1,E12_London_26_VIM_2_06_13,287,136841,Pseudomonas aeruginosa,E12_London_26_VIM_2_06_13,Pseudomonas aeruginosa,2015-07-07,7136136,Contig
GCF_001181725.1,E11_London_26_VIM_2_06_13,287,136841,Pseudomonas aeruginosa,E11_London_26_VIM_2_06_13,Pseudomonas aeruginosa,2015-07-07,7093957,Contig
GCF_001181705.1,E10_London_26_VIM_2_06_13,287,136841,Pseudomonas aeruginosa,E10_London_26_VIM_2_06_13,Pseudomonas aeruginosa,2015-07-07,7132077,Contig
GCF_001181685.1,P55_London_26_VIM_2_05_13,287,136841,Pseudomonas aeruginosa,P55_London_26_VIM_2_05_13,Pseudomonas aeruginosa,2015-07-07,7134162,Contig
GCF_001181665.1,P54_2_London_24_VIM_2_04_13,287,136841,Pseudomonas aeruginosa,P54_2_London_24_VIM_2_04_13,Pseudomonas aeruginosa,2015-07-07,7218066,Contig
GCF_001181645.1,E9_London_17_VIM_2_04_13,287,136841,Pseudomonas aeruginosa,E9_London_17_VIM_2_04_13,Pseudomonas aeruginosa,2015-07-07,7110651,Contig
GCF_001181625.1,E8_London_17_VIM_2_04_13,287,136841,Pseudomonas aeruginosa,E8_London_17_VIM_2_04_13,Pseudomonas aeruginosa,2015-07-07,7137068,Contig
GCF_001181605.1,P54_1_London_24_VIM_2_04_13,287,136841,Pseudomonas aeruginosa,P54_1_London_24_VIM_2_04_13,Pseudomonas aeruginosa,2015-07-07,7221214,Contig
GCF_001181585.1,P53_London_9_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,P53_London_9_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7136491,Contig
GCF_001181565.1,P52_2_London_26_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,P52_2_London_26_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7126699,Contig
GCF_001181545.1,P51_2_London_11_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,P51_2_London_11_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7116750,Contig
GCF_001181525.1,P52_1_London_26_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,P52_1_London_26_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7114254,Contig
GCF_001181505.1,E7_London_9_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,E7_London_9_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7107404,Contig
GCF_001181485.1,P51_1_London_9_VIM_2_02_13,287,136841,Pseudomonas aeruginosa,P51_1_London_9_VIM_2_02_13,Pseudomonas aeruginosa,2015-07-07,7114810,Contig
GCF_001181465.1,P43_2_London_9_VIM_2_11_12,287,136841,Pseudomonas aeruginosa,P43_2_London_9_VIM_2_11_12,Pseudomonas aeruginosa,2015-07-07,7119392,Contig
GCF_001181445.1,P50_London_9_VIM_2_01_13,287,136841,Pseudomonas aeruginosa,P50_London_9_VIM_2_01_13,Pseudomonas aeruginosa,2015-07-07,7116446,Contig
GCF_001181425.1,P49_London_7_VIM_2_01_13,287,136841,Pseudomonas aeruginosa,P49_London_7_VIM_2_01_13,Pseudomonas aeruginosa,2015-07-07,7052565,Contig
GCF_001181405.1,P48_London_17_VIM_2_01_13,287,136841,Pseudomonas aeruginosa,P48_London_17_VIM_2_01_13,Pseudomonas aeruginosa,2015-07-07,7116782,Contig
GCF_001181385.1,P47_London_12_VIM_2_12_12,287,136841,Pseudomonas aeruginosa,P47_London_12_VIM_2_12_12,Pseudomonas aeruginosa,2015-07-07,7112086,Contig
GCF_001181365.1,P46_South_East_6_12_12,287,136841,Pseudomonas aeruginosa,P46_South_East_6_12_12,Pseudomonas aeruginosa,2015-07-07,6956265,Contig
GCF_001181345.1,E6_London_17_VIM_2_12_12,287,136841,Pseudomonas aeruginosa,E6_London_17_VIM_2_12_12,Pseudomonas aeruginosa,2015-07-07,7262490,Contig
GCF_001181325.1,E5_London_17_VIM_2_12_12,287,136841,Pseudomonas aeruginosa,E5_London_17_VIM_2_12_12,Pseudomonas aeruginosa,2015-07-07,7127807,Contig
GCF_001181305.1,P45_London_17_VIM_2_12_12,287,136841,Pseudomonas aeruginosa,P45_London_17_VIM_2_12_12,Pseudomonas aeruginosa,2015-07-07,7136833,Contig
GCF_001181285.1,P42_2_London_28_VIM_2_11_12,287,136841,Pseudomonas aeruginosa,P42_2_London_28_VIM_2_11_12,Pseudomonas aeruginosa,2015-07-07,7134741,Contig
GCF_001181265.1,P43_1_London_9_VIM_2_11_12,287,136841,Pseudomonas aeruginosa,P43_1_London_9_VIM_2_11_12,Pseudomonas aeruginosa,2015-07-07,7133040,Contig
GCF_001181245.1,P42_1_London_26_VIM_2_10_12,287,136841,Pseudomonas aeruginosa,P42_1_London_26_VIM_2_10_12,Pseudomonas aeruginosa,2015-07-07,7188050,Contig
GCF_001181225.1,P41_London_28_09_12,287,136841,Pseudomonas aeruginosa,P41_London_28_09_12,Pseudomonas aeruginosa,2015-07-07,7168934,Contig
GCF_001181205.1,P40_Scotland_4_VIM_2_09_12,287,136841,Pseudomonas aeruginosa,P40_Scotland_4_VIM_2_09_12,Pseudomonas aeruginosa,2015-07-07,7369164,Contig
GCF_001181185.1,P39_London_29_08_12,287,136841,Pseudomonas aeruginosa,P39_London_29_08_12,Pseudomonas aeruginosa,2015-07-07,7085630,Contig
GCF_001181165.1,P38_London_12_VIM_2_08_12,287,136841,Pseudomonas aeruginosa,P38_London_12_VIM_2_08_12,Pseudomonas aeruginosa,2015-07-07,7063044,Contig
GCF_001181145.1,P37_London_28_VIM_2_07_12,287,136841,Pseudomonas aeruginosa,P37_London_28_VIM_2_07_12,Pseudomonas aeruginosa,2015-07-07,7103868,Contig
GCF_001181125.1,P36_West_Midlands_5_VIM_2_06_12,287,136841,Pseudomonas aeruginosa,P36_West_Midlands_5_VIM_2_06_12,Pseudomonas aeruginosa,2015-07-07,7046511,Contig
GCF_001181105.1,P35_London_26_VIM_2_05_12,287,136841,Pseudomonas aeruginosa,P35_London_26_VIM_2_05_12,Pseudomonas aeruginosa,2015-07-07,7113635,Contig
GCF_001181085.1,P34_London_28_VIM_2_02_12,287,136841,Pseudomonas aeruginosa,P34_London_28_VIM_2_02_12,Pseudomonas aeruginosa,2015-07-07,7078204,Contig
GCF_001181065.1,P33_London_28_VIM_2_02_12,287,136841,Pseudomonas aeruginosa,P33_London_28_VIM_2_02_12,Pseudomonas aeruginosa,2015-07-07,7039977,Contig
GCF_001181045.1,P32_London_17_VIM_2_10_11,287,136841,Pseudomonas aeruginosa,P32_London_17_VIM_2_10_11,Pseudomonas aeruginosa,2015-07-07,7172718,Contig
GCF_001181025.1,P31_Wales_1_VIM_2_11_11,287,136841,Pseudomonas aeruginosa,P31_Wales_1_VIM_2_11_11,Pseudomonas aeruginosa,2015-07-07,7212526,Contig
GCF_001181005.1,P30_South_East_2_VIM_2_10_11,287,136841,Pseudomonas aeruginosa,P30_South_East_2_VIM_2_10_11,Pseudomonas aeruginosa,2015-07-07,7035527,Contig
GCF_001180985.1,P29_London_12_VIM_2_05_11,287,136841,Pseudomonas aeruginosa,P29_London_12_VIM_2_05_11,Pseudomonas aeruginosa,2015-07-07,7068135,Contig
GCF_001180965.1,P28_London_17_02_11,287,136841,Pseudomonas aeruginosa,P28_London_17_02_11,Pseudomonas aeruginosa,2015-07-07,7023935,Contig
GCF_001180945.1,P27_Wales_1_VIM_2_02_11,287,136841,Pseudomonas aeruginosa,P27_Wales_1_VIM_2_02_11,Pseudomonas aeruginosa,2015-07-07,7237974,Contig
GCF_001180925.1,P26_Wales_1_VIM_2_11_10,287,136841,Pseudomonas aeruginosa,P26_Wales_1_VIM_2_11_10,Pseudomonas aeruginosa,2015-07-07,7199170,Contig
GCF_001180905.1,P25_London_12_VIM_2_08_10,287,136841,Pseudomonas aeruginosa,P25_London_12_VIM_2_08_10,Pseudomonas aeruginosa,2015-07-07,7058198,Contig
GCF_001180885.1,P24_London_17_VIM_2_08_10,287,136841,Pseudomonas aeruginosa,P24_London_17_VIM_2_08_10,Pseudomonas aeruginosa,2015-07-07,7082803,Contig
GCF_001180865.1,P23_East_of_England_6_IMP_13_07_10,287,136841,Pseudomonas aeruginosa,P23_East_of_England_6_IMP_13_07_10,Pseudomonas aeruginosa,2015-07-07,7023452,Contig
GCF_001180845.1,P22_London_17_VIM_2_06_10,287,136841,Pseudomonas aeruginosa,P22_London_17_VIM_2_06_10,Pseudomonas aeruginosa,2015-07-07,7027059,Contig
GCF_001180825.1,P21_London_17_VIM_2_06_10,287,136841,Pseudomonas aeruginosa,P21_London_17_VIM_2_06_10,Pseudomonas aeruginosa,2015-07-07,7087137,Contig
GCF_001180805.1,P20_London_17_VIM_2_05_10,287,136841,Pseudomonas aeruginosa,P20_London_17_VIM_2_05_10,Pseudomonas aeruginosa,2015-07-07,7082567,Contig
GCF_001180785.1,P19_London_7_VIM_2_05_10,287,136841,Pseudomonas aeruginosa,P19_London_7_VIM_2_05_10,Pseudomonas aeruginosa,2015-07-07,7443731,Contig
GCF_001180765.1,P18_London_17_VIM_2_04_10,287,136841,Pseudomonas aeruginosa,P18_London_17_VIM_2_04_10,Pseudomonas aeruginosa,2015-07-07,7050668,Contig
GCF_001180745.1,P17_North_West_14_VIM_2_03_10,287,136841,Pseudomonas aeruginosa,P17_North_West_14_VIM_2_03_10,Pseudomonas aeruginosa,2015-07-07,7042121,Contig
GCF_001180725.1,P16_Lonon_17_VIM_2_02_10,287,136841,Pseudomonas aeruginosa,P16_Lonon_17_VIM_2_02_10,Pseudomonas aeruginosa,2015-07-07,7079093,Contig
GCF_001180705.1,P15_London_17_02_10,287,136841,Pseudomonas aeruginosa,P15_London_17_02_10,Pseudomonas aeruginosa,2015-07-07,7108098,Contig
GCF_001180685.1,P14_London_17_VIM_2_01_10,287,136841,Pseudomonas aeruginosa,P14_London_17_VIM_2_01_10,Pseudomonas aeruginosa,2015-07-07,7067509,Contig
GCF_001180665.1,P13_London_14_VIM_2_12_09,287,136841,Pseudomonas aeruginosa,P13_London_14_VIM_2_12_09,Pseudomonas aeruginosa,2015-07-07,7080235,Contig
GCF_001180645.1,P12_London_17_VIM_2_11_09,287,136841,Pseudomonas aeruginosa,P12_London_17_VIM_2_11_09,Pseudomonas aeruginosa,2015-07-07,7171794,Contig
GCF_001180625.1,P11_London_17_VIM_2_10_09,287,136841,Pseudomonas aeruginosa,P11_London_17_VIM_2_10_09,Pseudomonas aeruginosa,2015-07-07,7064192,Contig
GCF_001180605.1,P10_London_6_VIM_2_09_09,287,136841,Pseudomonas aeruginosa,P10_London_6_VIM_2_09_09,Pseudomonas aeruginosa,2015-07-07,7082268,Contig
GCF_001180585.1,P9_East_of_England_6_IMP_13_08_09,287,136841,Pseudomonas aeruginosa,P9_East_of_England_6_IMP_13_08_09,Pseudomonas aeruginosa,2015-07-07,7024931,Contig
GCF_001180565.1,P8_1_South_East_10_VIM_2_07_09,287,136841,Pseudomonas aeruginosa,P8_1_South_East_10_VIM_2_07_09,Pseudomonas aeruginosa,2015-07-07,7060796,Contig
GCF_001180545.1,P7_London_17_VIM_2_06_09,287,136841,Pseudomonas aeruginosa,P7_London_17_VIM_2_06_09,Pseudomonas aeruginosa,2015-07-07,7082745,Contig
GCF_001180525.1,P6_East_of_England_6_IMP_1_03_09,287,136841,Pseudomonas aeruginosa,P6_East_of_England_6_IMP_1_03_09,Pseudomonas aeruginosa,2015-07-07,7025101,Contig
